name,city,district,state,pincode,latitude,longitude
Visakhapatnam,Visakhapatnam,Visakhapatnam,Andhra Pradesh,530001,17.6868,83.2185
Vijayawada,Vijayawada,Krishna,Andhra Pradesh,520001,16.5062,80.6480
Guntur,Guntur,Guntur,Andhra Pradesh,522001,16.3067,80.4365
Tirupati,Tirupati,Tirupati,Andhra Pradesh,517501,13.6288,79.4192
Nellore,Nellore,Nellore,Andhra Pradesh,524001,14.4426,79.9865
Itanagar,Itanagar,Papum Pare,Arunachal Pradesh,791111,27.0844,93.6053
Naharlagun,Naharlagun,Papum Pare,Arunachal Pradesh,791110,27.1039,93.6960
Guwahati,Guwahati,Kamrup Metropolitan,Assam,781001,26.1445,91.7362
Dibrugarh,Dibrugarh,Dibrugarh,Assam,786001,27.4728,94.9120
Silchar,Silchar,Cachar,Assam,788001,24.8333,92.7789
Patna,Patna,Patna,Bihar,800001,25.5941,85.1376
Gaya,Gaya,Gaya,Bihar,823001,24.7969,85.0078
Bhagalpur,Bhagalpur,Bhagalpur,Bihar,812001,25.2425,86.9842
Muzaffarpur,Muzaffarpur,Muzaffarpur,Bihar,842001,26.1209,85.3647
Raipur,Raipur,Raipur,Chhattisgarh,492001,21.2514,81.6296
Bhilai,Bhilai,Durg,Chhattisgarh,490001,21.1938,81.3509
Bilaspur,Bilaspur,Bilaspur,Chhattisgarh,495001,22.0797,82.1409
Panaji,Panaji,North Goa,Goa,403001,15.4909,73.8278
Margao,Margao,South Goa,Goa,403601,15.2832,73.9862
Vasco da Gama,Vasco da Gama,South Goa,Goa,403802,15.3981,73.8113
Ahmedabad,Ahmedabad,Ahmedabad,Gujarat,380001,23.0225,72.5714
Surat,Surat,Surat,Gujarat,395001,21.1702,72.8311
Vadodara,Vadodara,Vadodara,Gujarat,390001,22.3072,73.1812
Rajkot,Rajkot,Rajkot,Gujarat,360001,22.3039,70.8022
Gandhinagar,Gandhinagar,Gandhinagar,Gujarat,382010,23.2156,72.6369
Gurugram,Gurugram,Gurugram,Haryana,122001,28.4595,77.0266
Faridabad,Faridabad,Faridabad,Haryana,121001,28.4089,77.3178
Panipat,Panipat,Panipat,Haryana,132103,29.3909,76.9635
Ambala,Ambala,Ambala,Haryana,134003,30.3782,76.7767
Shimla,Shimla,Shimla,Himachal Pradesh,171001,31.1048,77.1734
Mandi,Mandi,Mandi,Himachal Pradesh,175001,31.7080,76.9318
Dharamshala,Dharamshala,Kangra,Himachal Pradesh,176215,32.2190,76.3234
Ranchi,Ranchi,Ranchi,Jharkhand,834001,23.3441,85.3096
Jamshedpur,Jamshedpur,East Singhbhum,Jharkhand,831001,22.8046,86.2029
Dhanbad,Dhanbad,Dhanbad,Jharkhand,826001,23.7957,86.4304
Bengaluru,Bengaluru,Bengaluru Urban,Karnataka,560001,12.9716,77.5946
Mysuru,Mysuru,Mysuru,Karnataka,570001,12.2958,76.6394
Hubballi,Hubballi,Dharwad,Karnataka,580020,15.3647,75.1240
Mangaluru,Mangaluru,Dakshina Kannada,Karnataka,575001,12.9141,74.8560
Belagavi,Belagavi,Belagavi,Karnataka,590001,15.8497,74.4977
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,Kerala,695001,8.5241,76.9366
Kochi,Kochi,Ernakulam,Kerala,682001,9.9312,76.2673
Kozhikode,Kozhikode,Kozhikode,Kerala,673001,11.2588,75.7804
Thrissur,Thrissur,Thrissur,Kerala,680001,10.5276,76.2144
Bhopal,Bhopal,Bhopal,Madhya Pradesh,462001,23.2599,77.4126
Indore,Indore,Indore,Madhya Pradesh,452001,22.7196,75.8577
Jabalpur,Jabalpur,Jabalpur,Madhya Pradesh,482001,23.1815,79.9864
Gwalior,Gwalior,Gwalior,Madhya Pradesh,474001,26.2183,78.1828
Mumbai,Mumbai,Mumbai,Maharashtra,400001,18.9388,72.8354
Pune,Pune,Pune,Maharashtra,411001,18.5204,73.8567
Nagpur,Nagpur,Nagpur,Maharashtra,440001,21.1458,79.0882
Nashik,Nashik,Nashik,Maharashtra,422001,19.9975,73.7898
Thane,Thane,Thane,Maharashtra,400601,19.2183,72.9781
Aurangabad,Aurangabad,Aurangabad,Maharashtra,431001,19.8762,75.3433
Imphal,Imphal,Imphal West,Manipur,795001,24.8170,93.9368
Shillong,Shillong,East Khasi Hills,Meghalaya,793001,25.5788,91.8933
Aizawl,Aizawl,Aizawl,Mizoram,796001,23.7271,92.7176
Kohima,Kohima,Kohima,Nagaland,797001,25.6701,94.1077
Dimapur,Dimapur,Dimapur,Nagaland,797112,25.9063,93.7270
Bhubaneswar,Bhubaneswar,Khordha,Odisha,751001,20.2961,85.8245
Cuttack,Cuttack,Cuttack,Odisha,753001,20.4625,85.8830
Rourkela,Rourkela,Sundargarh,Odisha,769001,22.2604,84.8536
Ludhiana,Ludhiana,Ludhiana,Punjab,141001,30.9010,75.8573
Amritsar,Amritsar,Amritsar,Punjab,143001,31.6340,74.8723
Jalandhar,Jalandhar,Jalandhar,Punjab,144001,31.3260,75.5762
Patiala,Patiala,Patiala,Punjab,147001,30.3398,76.3869
Jaipur,Jaipur,Jaipur,Rajasthan,302001,26.9124,75.7873
Jodhpur,Jodhpur,Jodhpur,Rajasthan,342001,26.2389,73.0243
Udaipur,Udaipur,Udaipur,Rajasthan,313001,24.5854,73.7125
Kota,Kota,Kota,Rajasthan,324001,25.2138,75.8648
Ajmer,Ajmer,Ajmer,Rajasthan,305001,26.4499,74.6399
Gangtok,Gangtok,Gangtok,Sikkim,737101,27.3389,88.6065
Chennai,Chennai,Chennai,Tamil Nadu,600001,13.0827,80.2707
Coimbatore,Coimbatore,Coimbatore,Tamil Nadu,641001,11.0168,76.9558
Madurai,Madurai,Madurai,Tamil Nadu,625001,9.9252,78.1198
Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,620001,10.7905,78.7047
Salem,Salem,Salem,Tamil Nadu,636001,11.6643,78.1460
Hyderabad,Hyderabad,Hyderabad,Telangana,500001,17.3850,78.4867
Warangal,Warangal,Warangal,Telangana,506002,17.9689,79.5941
Nizamabad,Nizamabad,Nizamabad,Telangana,503001,18.6725,78.0941
Karimnagar,Karimnagar,Karimnagar,Telangana,505001,18.4386,79.1288
Agartala,Agartala,West Tripura,Tripura,799001,23.8315,91.2868
Lucknow,Lucknow,Lucknow,Uttar Pradesh,226001,26.8467,80.9462
Kanpur,Kanpur,Kanpur Nagar,Uttar Pradesh,208001,26.4499,80.3319
Agra,Agra,Agra,Uttar Pradesh,282001,27.1767,78.0081
Varanasi,Varanasi,Varanasi,Uttar Pradesh,221001,25.3176,82.9739
Noida,Noida,Gautam Buddha Nagar,Uttar Pradesh,201301,28.5355,77.3910
Ghaziabad,Ghaziabad,Ghaziabad,Uttar Pradesh,201001,28.6692,77.4538
Prayagraj,Prayagraj,Prayagraj,Uttar Pradesh,211001,25.4358,81.8463
Dehradun,Dehradun,Dehradun,Uttarakhand,248001,30.3165,78.0322
Haridwar,Haridwar,Haridwar,Uttarakhand,249401,29.9457,78.1642
Nainital,Nainital,Nainital,Uttarakhand,263001,29.3919,79.4542
Kolkata,Kolkata,Kolkata,West Bengal,700001,22.5726,88.3639
Howrah,Howrah,Howrah,West Bengal,711101,22.5958,88.2636
Durgapur,Durgapur,Paschim Bardhaman,West Bengal,713201,23.5204,87.3119
Siliguri,Siliguri,Darjeeling,West Bengal,734001,26.7271,88.3953
Asansol,Asansol,Paschim Bardhaman,West Bengal,713301,23.6739,86.9524
New Delhi,New Delhi,New Delhi,Delhi,110001,28.6139,77.2090
Dwarka,Dwarka,South West Delhi,Delhi,110075,28.5921,77.0460
Rohini,Rohini,North West Delhi,Delhi,110085,28.7361,77.1180
Srinagar,Srinagar,Srinagar,Jammu and Kashmir,190001,34.0837,74.7973
Jammu,Jammu,Jammu,Jammu and Kashmir,180001,32.7266,74.8570
Leh,Leh,Leh,Ladakh,194101,34.1526,77.5770
Chandigarh,Chandigarh,Chandigarh,Chandigarh,160001,30.7333,76.7794
Puducherry,Puducherry,Puducherry,Puducherry,605001,11.9416,79.8083
Port Blair,Port Blair,South Andaman,Andaman and Nicobar Islands,744101,11.6234,92.7265
Daman,Daman,Daman,Dadra and Nagar Haveli and Daman and Diu,396210,20.3974,72.8328
Silvassa,Silvassa,Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,396230,20.2738,73.0140
Kavaratti,Kavaratti,Lakshadweep,Lakshadweep,682555,10.5593,72.6358
